Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Furret	JHT02	Furret	Normal	Tierra	5	700	1400	3	TCG	Mientras esta carta permanezca boca arriba en el campo, tu oponente solo puede efectuar ataques contra esta carta
Hoothoot	JHT02	Hoot-Hoot	Volador	Viento	3	500	600	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Una vez por turno, selecciona 1 Pokemon Fantasma que tu oponente controle: niega sus efectos hasta el final del turno.
Noctowl	JHT02	Noctowl	Volador	Viento	5	1200	1500	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. No puede ser seleccionada por 'Hipnosis' o 'Canto'. Cuando es seleccionada por cartas Trampa Continuas, selecciona 1 Pokemon del oponente: la carta Trampa activada selecciona al Pokemon designado
Ledyba	JHT02	Ledyba	Bicho	Viento	3	400	1100	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Puede atacar 2 veces en un mismo turno
Ledian	JHT02	Ledian	Bicho	Viento	5	800	1400	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Si tus Life Points son 2000 o menos, duplica el ATK de los Pokemon Bicho que controles
Spinarak	JHT02	Spinarak	Bicho	Tierra	3	500	300	3	TCG	Una vez por turno, selecciona 1 Pokemon que tu oponente controle: mientras esta carta permanezca boca arriba en el campo, el Pokemon seleccionado no puede regresar a la mano por efectos de cartas Magicas 
Ariados	JHT02	Ariados	Bicho	Tierra	5	1500	1300	3	TCG	Una vez por turno, durante tu Main Phase, selecciona 1 Pokemon que el oponente controle. No podra atacar por 1 turno. Cuando esta carta declara un ataque, inflige 300 puntos de dano a los Life Points de tu oponente 
Crobat	JHT02	Crobat	Veneno	Viento	7	1600	1500	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Los ataques efectuados por esta carta no pueden ser cancelados. Una vez por turno, durante tu Battle Phase, lanza 1 moneda a cara o cruz. Si el resultado es 'cara', esta carta puede realizar ataques directos hasta el final del turno
Chinchou	JHT02	Chinchou	Electrico	Agua	3	500	600	3	TCG	Esta carta no puede ser destruida por Pokemon Electricos, y ademas reduce el dano de batalla a 0. Una vez por turno, mira las 3 primeras cartas de la parte superior de tu mazo. Si alguna es 1 Pokemon de nivel 4 o menor, anadelo a tu mano y devuelve el resto de las cartas en el orden original 
Lanturn	JHT02	Lanturn	Electrico	Agua	5	1650	1900	3	TCG	Esta carta no puede ser destruida por Pokemon Electricos, y ademas incrementa tus Life Points en un valor equivalente al dano de batalla efectuado por Pokemon Electricos de tu oponente. Una vez por turno, durante tu Battle Phase, incrementa el ATK de todos los Pokemon Electricos que controles en 300 puntos
Pichu	JHT02	Pichu	Electrico	Luz	1	200	100	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Pikachu'. Mezcla el mazo.
Cleffa	JHT02	Cleffa	Hada	Luz	1	100	300	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Clefairy'. Mezcla el mazo.
Igglybuff	JHT02	Igglybuff	Hada	Luz	1	100	250	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Jigglypuff'. Mezcla el mazo.
Togepi	JHT02	Togepi	Hada	Luz	1	0	200	3	TCG	Volteo: anade 1 carta Magica de Equipo de tu mazo a tu mano. Mezcla el mazo
Togetic	JHT02	Togetic	Hada	Viento	5	1200	1600	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Una vez por turno, puedes activar este efecto. Selecciona 1 Pokemon que controles. Durante la Standby Phase de tu proximo turno, incrementa tus Life Points en un valor equivalente a la mitad de los puntos de DEF del Pokemon seleccionado
Natu	JHT02	Natu	Psiquico	Viento	3	600	400	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Mientras esta carta permanezca boca arriba en el campo, ignora los efectos de Pokemon del oponente que impidan seleccionar como objetivo de ataque
Xatu	JHT02	Xatu	Psiquico	Viento	5	1500	1300	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Una vez por turno, puedes activar este efecto. Durante la Standby Phase de tu proximo turno, inflige dano directo a los Life Points de tu oponente en un valor equivalente al ATK original de esta carta
Mareep	JHT02	Mareep	Electrico	Luz	3	600	500	3	TCG	Volteo: cuando esta carta es declarada como objetivo de un ataque, despues del calculo de dano, el Pokemon atacante no podra atacar por los siguientes 2 turnos
Flaaffy	JHT02	Flaaffy	Electrico	Luz	5	1500	1300	3	TCG	Una vez por turno, durante tu Battle Phase, selecciona 1 Pokemon electrico que controles. Incrementa su ATK en 300 puntos hasta el final del turno
Ampharos	JHT02	Ampharos	Electrico	Luz	7	2100	1700	3	TCG	Cuando esta carta es invocada, selecciona 1 Pokemon que tu oponente controle: no podra atacar por los proximos 3 turnos. Cuando esta carta batalla contra 1 Pokemon de AGUA o VIENTO, incrementa su ATK en 500 puntos hasta el final del turno
Bellossom	JHT02	Bellossom	Planta	Tierra	6	1400	1800	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Solar" y enviando al Cementerio 1 'Gloom' en tu lado del campo. Si la carta 'Dia Soleado' se encuentra activa en el campo, incrementa tus Life Points en 400 puntos durante cada una de tus Standby Phases
Marill	JHT02	Marill	Agua	Agua	4	400	900	3	TCG	Cuando esta carta es atacada por un Pokemon Hielo o Fuego, divide el ATK del Pokemon atacante a la mitad
Azumarill	JHT02	Azumarill	Agua	Agua	5	1400	1800	3	TCG	Durante cada una de tus Standby Phases, mientras esta carta permanezca boca arriba en el campo, incrementa tus Life Points en 400 puntos
Sudowoodo	JHT02	Sudowoodo	Roca	Tierra	4	1600	1900	3	TCG	Una vez por turno, selecciona 1 Pokemon en el campo. El efecto de esta carta se convierte en el efecto del Pokemon seleccionado hasta el final del turno
Politoed	JHT02	Politoed	Agua	Agua	6	1700	1600	3	TCG	Esta carta solo puede ser invocada por el efecto de "Roca del Rey" y enviando al Cementerio 1 'Poliwhirl' en tu lado del campo. Si la carta 'Danza Lluvia' se encuentra activa en el campo, esta carta no puede ser destruida por efectos de Pokemon
Hoppip	JHT02	Hoppip	Planta	Viento	3	300	500	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Si la carta 'Dia Soleado' se encuentra activa en el campo, puedes invocar esta carta de forma especial. 
Skiplum	JHT02	Skiplum	Planta	Viento	5	600	1200	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando ataca a los Life Points de tu oponente, incrementa tus Life Points en un valor equivalente al dano efectuado
Jumpluff	JHT02	Jumpluff	Planta	Viento	7	1400	1600	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando es invocada, selecciona 1 Pokemon que tu oponente controle. No podra atacar o cambiar su posicion de batalla por 3 turnos. 
Aipom	JHT02	Aipom	Normal	Tierra	3	600	500	3	TCG	Volteo: anade 1 carta Magica de Equipo de tu Cementerio a tu mano
Sunkern	JHT02	Sunkern	Planta	Tierra	2	300	300	3	TCG	Volteo: si la carta 'Dia Soleado' se encuentra activa en el campo, roba 1 carta de la parte superior de tu mazo
Sunflora	JHT02	Sunflora	Planta	Tierra	5	1600	1400	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Solar" y enviando al Cementerio 1 'Sunkern' en tu lado del campo. Cuando esta carta es invocada, anade 1 'Dia Soleado' de tu mazo a tu mano. Mezcla el mazo.
Yanma	JHT02	Yanma	Bicho	Viento	3	700	500	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra.  Durante la End Phase de tu turno, roba 1 carta de la parte superior de tu mazo
Wooper	JHT02	Wooper	Agua	Tierra	3	300	400	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando es atacada por Pokemon de AGUA, reduce el dano de batalla a 0 y ademas incrementa tus Life Points en 200 puntos
Quagsire	JHT02	Quagsire	Agua	Tierra	5	1500	1700	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando es invocada con exito, reduce el ATK de los Pokemon Electricos a la mitad. Una vez por turno, puedes descartar 1 carta de tu mano. Incrementa el ATK de esta carta en 500 puntos hasta el final del turno 
Espeon	JHT02	Espeon	Psiquico	Luz	6	1700	1550	3	TCG	Esta carta solo puede ser invocada si controlas 'Ciclo Dia/Noche' en turno 'Dia', y enviando al Cementerio 1 'Eevee' en tu lado del campo. Cuando es seleccionada por 1 carta Trampa Continua, aplica el efecto de la carta en 1 Pokemon de tu oponente. 
Umbreon	JHT02	Umbreon	Siniestro	Oscuridad	6	1500	2000	3	TCG	Esta carta solo puede ser invocada si controlas 'Ciclo Dia/Noche' en turno 'Noche', y enviando al Cementerio 1 'Eevee' en tu lado del campo. No puede ser seleccionada por ataques de Pokemon Psiquico. Cuando tus Life Points son 2000 o menos, durante tu Standby Phase incrementalos hasta un maximo de 4000  
Murkrow	JHT02	Murkrow	Siniestro	Viento	3	1100	900	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra y Psiquico. Cuando 1 Pokemon de tu oponente declara un ataque, niegalo y cambia el Pokemon atacante a posicion de defensa
Slowking	JHT02	Slowking	Psiquico	Agua	6	1650	1700	3	TCG	Esta carta solo puede ser invocada por el efecto de "Roca del Rey" y enviando al Cementerio 1 'Slowpoke' en tu lado del campo. Selecciona 1 Pokemon en el campo: aplica todo incremento de ATK y DEF por cartas Magicas de Equipo, Continuas y de Campo del Pokemon seleccionado en esta carta   
Misdreavus	JHT02	Misdreavus	Fantasma	Oscuridad	3	500	800	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra, Lucha y Normal. Cuando es invocada, lanza 1 dado de 6 caras. Tu oponente descarta cartas de su Mazo en un valor equivalente al numero obtenido en el lanzamiento de dado
Unown	JHT02	Unown	Psiquico	Luz	3	700	500	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando es invocada con exito, selecciona 1 atributo. El atributo de esta carta se convierte en el atributo elegido. Aplica uno de los siguientes efectos segun el atributo actual de esta carta. AGUA: duplica el ATK de esta carta cuando batalla contra Pokemon Fuego, Tierra y Roca. TIERRA: duplica el ATK de esta carta cuando batalla contra Pokemon Electricos y Veneno. VIENTO: duplica el ATK de esta carta cuando batalla contra Pokemon Lucha. FUEGO: duplica el ATK de esta carta cuando batalla contra Pokemon Acero, Planta y Bicho. OSCURIDAD: duplica el ATK de esta carta cuando batalla contra Pokemon Fantasma y Psiquico
Wobbuffet	JHT02	Wobbuffet	Psiquico	Luz	4	500	2000	3	TCG	Cuando esta carta es invocada, selecciona 1 Pokemon que tu oponente controle: mientras esta carta permanezca boca arriba en el campo, el Pokemon seleccionado no puede regresar a la mano por efectos de cartas Magicas. Una vez por turno, cuando esta carta es declarada como objetivo de ataque de 1 Pokemon del oponente, niega el ataque e inflige el dano de batalla que fuera a ser recibido a los Life Points del oponente
Girafarig	JHT02	Girafarig	Psiquico	Luz	4	1600	1400	3	TCG	Una vez por turno, durante tu Main Phase, selecciona 1 Pokemon del oponente. Intercambia el ATK y DEF de esta carta y la carta seleccionada hasta el final del turno
Pineco	JHT02	Pineco	Bicho	Tierra	3	600	1500	3	TCG	Volteo: destruye todos los Pokemon en el campo
Forretress	JHT02	Forretress	Acero	Tierra	5	900	2000	3	TCG	Divide a la mitad el ATK de los Pokemon Veneno que declaren ataques contra esta carta. Cuando es invocada con éxito, anade 1 'Puas' de tu mazo a tu mano. Mezcla el mazo
Dunsparce	JHT02	Dunsparce	Normal	Tierra	3	400	1200	3	TCG	Esta carta no puede ser seleccionada por efectos de Pokemon que impidan devolver esta carta a la mano
Gligar	JHT02	Gligar	Tierra	Viento	4	1400	1600	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Ademas, no puede ser destruida en batalla por Pokemon Electricos. Mientras permanezca boca arriba en el campo, esta carta no puede ser seleccionada por efectos de Pokemon que reduzcan ATK
Steelix	JHT02	Steelix	Acero	Tierra	6	1600	2500	3	TCG	Esta carta solo puede ser invocada por el efecto de 'Revestimiento Metalico' y enviando al Cementerio 1 'Onix' en tu lado del campo. No puede ser destruida en batalla por Pokemon Electricos. Ademas, divide a la mitad el ATK de los Pokemon Veneno que declaren ataques contra esta carta.
Snubbull	JHT02	Snubbull	Hada	Luz	3	800	500	3	TCG	Cuando esta carta es invocada con exito, reduce el ATK de los Pokemon del oponente en 200 puntos
Granbull	JHT02	Granbull	Hada	Luz	5	1700	1200	3	TCG	Cuando esta carta declara un ataque, despues del calculo de dano, reduce la DEF del objetivo a la mitad
Qwilfish	JHT02	Qwilfish	Veneno	Agua	3	900	1000	3	TCG	Volteo: cuando esta carta es destruida como resultado de una batalla, inflige 300 puntos de dano a los Life Points de tu oponente
Scizor	JHT02	Scizor	Acero	Tierra	6	1800	1600	3	TCG	Esta carta solo puede ser invocada por el efecto de 'Revestimiento Metalico' y enviando al Cementerio 1 'Scyther' en tu lado del campo. Divide a la mitad el ATK de los Pokemon Veneno que declaren ataques contra esta carta. Cuando esta carta declara un ataque, durante el proximo turno, no puede ser seleccionada por ataques de Pokemon del Oponente
Shuckle	JHT02	Shuckle	Bicho	Tierra	4	0	2500	3	TCG	Una vez por turno, intercambia el ATK y DEF de esta carta hasta el final del turno
Heracross	JHT02	Heracross	Bicho	Tierra	4	1700	1500	3	TCG	Una vez por turno, cuando esta carta fuera a ser destruida como resultado de una batalla, evita enviarla al Cementerio y en su lugar recibes el dano de batalla. Durante la Battle Phase de tu turno, incrementa el ATK de esta carta en 400 puntos y reduce su DEF en 500 hasta el siguiente turno. 
Sneasel	JHT02	Sneasel	Hielo	Oscuridad	4	1400	1200	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Psiquico. Selecciona 1 Pokemon que tu oponente controle, no podra activar efectos por 2 turnos.
Teddiursa	JHT02	Teddiursa	Normal	Tierra	3	600	400	3	TCG	Una vez por turno, durante tu Main Phase, roba 1 carta de la parte superior de tu mazo
Ursaring	JHT02	Ursaring	Normal	Tierra	5	1800	1600	3	TCG	Durante la Battle Phase de tu turno, incrementa el ATK de esta carta en 600 puntos. Si activas este efecto, no podras robar carta en la Draw Phase de tu proximo turno
Slugma	JHT02	Slugma	Fuego	Fuego	3	700	400	3	TCG	Volteo: cuando esta carta es declarada como objetivo de un ataque, despues del calculo de dano, el Pokemon atacante pierde 300 puntos de ATK
Magcargo	JHT02	Magcargo	Fuego	Fuego	5	1400	2200	3	TCG	Una vez por turno, durante la Battle Phase de tu turno, reduce la DEF de esta carta en 500 puntos. Aumenta su ATK en 500 puntos hasta el final del turno
Swinub	JHT02	Swinub	Hielo	Tierra	3	400	500	3	TCG	Si la carta 'Granizo' se encuentra activa en el campo, esta carta no puede ser destruida como resultado de una batalla contra Pokemon de nivel 4 o inferior
Piloswine	JHT02	Piloswine	Hielo	Tierra	5	1850	1900	3	TCG	Cuando esta carta declara un ataque, despues del calculo de dano, recibes dano a tus Life Points en un valor equivalente a la mitad del dano de batalla efectuado
Corsola	JHT02	Corsola	Roca	Agua	3	700	1400	3	TCG	Una vez por turno, durante tu Battle Phase, lanza 1 dado de 6 caras. Esta carta puede efectuar un numero de ataques equivalente al numero obtenido en el lanzamiento de dado
Remoraid	JHT02	Remoraid	Agua	Agua	3	600	400	3	TCG	Si la carta 'Islas Remolino' se encuentra activa en el campo, esta carta puede atacar directamente a los Life Points de tu oponente
Octillery	JHT02	Octillery	Agua	Agua	5	1600	1200	3	TCG	Esta carta no puede ser seleccionada por efectos que puedan enviarla a la mano. Cuando ataca a 1 Pokemon del oponente, antes del calculo de dano, el objetivo no podra declarar ataques por 1 turno
Delibird	JHT02	Delibird	Hielo	Viento	3	600	450	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando esta carta declara un ataque, despues del calculo de dano, roba 1 carta de la parte superior de tu mazo
Mantine	JHT02	Mantine	Agua	Viento	4	1200	1750	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Si la carta 'Danza Lluvia' se encuentra activa en el campo, robas 1 carta extra en la Draw Phase de tu turno
Skarmory	JHT02	Skarmory	Acero	Viento	4	1400	2200	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Ademas, divide a la mitad el ATK de los Pokemon Veneno que declaren ataques contra esta carta. Cuando esta carta fuera a ser destruida como resultado de una batalla, evita enviarla al Cementerio y en su lugar recibes el dano de batalla. 
Houndour	JHT02	Houndour	Fuego	Oscuridad	4	1400	1200	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Psiquico. Durante la Battle Phase de tu turno, aumenta el ATK de todos los Pokemon que controlas en 300 puntos hasta el final del turno
Houndoom	JHT02	Houndoom	Fuego	Oscuridad	5	1700	1600	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Psiquico. Cuando esta carta declara un ataque, antes del calculo de dano, reduce el ATK del objetivo en 500 puntos
Kingdra	JHT02	Kingdra	Dragon	Agua	6	1900	1600	3	TCG	Esta carta solo puede ser invocada por el efecto de 'Escama Dragon' y enviando al Cementerio 1 'Seadra' en tu lado del campo. Cuando batalla contra 1 Pokemon Dragon, aumenta su ATK en 500 puntos hasta el final del turno
Phanpy	JHT02	Phanpy	Tierra	Tierra	3	600	400	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Si la carta 'Tormenta de Arena' se encuentra activa en el campo, esta carta no puede ser seleccionada como objetivo de ataque
Donphan	JHT02	Donphan	Tierra	Tierra	5	1800	1800	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cada vez que esta carta destruye a 1 Pokemon del oponente, aumenta su ATK en 300 puntos de forma permanente. Si en alguno de tus turnos esta carta no declara ataques o son cancelados por efectos de cartas, reduce su ATK a su valor original 
Porygon2	JHT02	Porygon2	Normal	Tierra	5	1200	1400	3	TCG	Una vez por turno, durante tu Main Phase, selecciona 1 Pokemon del oponente. El efecto de esta carta se convierte en el efecto de la carta seleccionada
Stantler	JHT02	Stantler	Normal	Tierra	4	1400	1100	3	TCG	Cuando esta carta es invocada, voltea 1 carta boca abajo en el campo del oponente y luego regresala a su posicion original (sus efectos no se activan)
Smeargle	JHT02	Smeargle	Normal	Tierra	3	300	500	3	TCG	Cuando tu oponente activa el efecto de una carta de Pokemon, esta carta gana dicho efecto hasta el siguiente turno
Tyrogue	JHT02	Tyrogue	Lucha	Tierra	2	400	400	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Hitmonlee', 'Hitmonchan' o 'Hitmontop'. Mezcla el mazo.
Hitmontop	JHT02	Hitmontop	Lucha	Tierra	5	1500	1800	3	TCG	Cuando esta carta es invocada con exito, reduce el ATK de los Pokemon del oponente en 300 puntos. Una vez por turno, cuando tu oponente declara un ataque contra 1 Pokemon que controles, niegalo
Smoochum	JHT02	Smoochum	Hielo	Luz	1	500	600	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Jynx'. Mezcla el mazo.
Elekid	JHT02	Elekid	Electrico	Luz	2	600	400	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Electabuzz'. Mezcla el mazo.
Magby	JHT02	Magby	Fuego	Fuego	2	700	500	3	TCG	Durante la Main Phase de tu turno, puedes descartar esta carta de tu mano: invoca de forma especial, desde tu mazo, 1 'Magmar'. Mezcla el mazo.
Miltank	JHT02	Miltank	Normal	Tierra	4	1400	1800	3	TCG	Una vez por turno, durante tu Standby Phase, incrementa tus Life Points en 200 puntos. Cuando esta carta declara un ataque, lanza 1 dado de 6 caras. Gana 200 puntos de ATK multiplicado por el numero obtenido en el lanzamiento de dado
Blissey	JHT02	Blissey	Normal	Tierra	6	600	2500	3	TCG	Cuando esta carta es invocada, envia al Cementerio todas las cartas Trampa Continuas que afecten a 1 o mas Pokemon que controles
Raikou	JHT02	Raikou	Electrico	Luz	7	2100	1900	1	TCG	Esta carta no puede ser invocada de forma normal. Cuando esta carta es invocada con exito, tu oponente descarta 3 cartas de su mano. Una vez por turno, selecciona 1 Pokemon del oponente. No podra atacar por 3 turnos
Entei	JHT02	Entei	Fuego	Fuego	7	2200	2000	1	TCG	Esta carta no puede ser invocada de forma normal. Cuando esta carta es invocada con exito, tu oponente envia 3 cartas de la parte superior de su mazo al Cementerio. Una vez por turno, selecciona 1 Pokemon del oponente. Reduce su ATK en 600 puntos.
Suicune	JHT02	Suicune	Agua	Agua	7	1900	2200	1	TCG	Esta carta no puede ser invocada de forma normal. Cuando esta carta es invocada con exito, tu oponente envia al Cementerio hasta 3 cartas colocadas en la zona de cartas Magicas/Trampa de su campo. Una vez por turno, incrementa el ATK y la DEF de esta carta en 500 puntos hasta el final del turno
Larvitar	JHT02	Larvitar	Roca	Tierra	3	700	500	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando esta carta es seleccionada por cartas Trampa continuas, duplica su ATK
Pupitar	JHT02	Pupitar	Roca	Tierra	5	900	1200	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. No puede ser seleccionada por cartas Trampa Continuas. Cuando es declarada como objetivo de ataque, duplica su DEF hasta el final del turno
Tyranitar	JHT02	Tyranitar	Roca	Oscuridad	7	2500	2400	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Psiquico. Cuando es invocada con exito, anade 1 'Tormenta de Arena' de tu mazo a tu mano. Mezcla el mazo. Cuando batalla contra 1 Pokemon de VIENTO o FUEGO, aumenta su ATK en 500 puntos hasta el final del turno
Lugia	JHT02	Lugia	Psiquico	Viento	8	1950	3000	1	TCG	Esta carta no puede ser invocada de forma normal. No puede ser seleccionada por ataques de Pokemon Tierra. Cuando esta carta es invocada con exito, tu oponente descarta toda su mano. Una vez por turno, cuando tu oponente declara un ataque, niegalo y devuelve el Pokemon atacante a su mano
Ho-Oh	JHT02	Ho-Oh	Fuego	Viento	8	2600	3000	1	TCG	Esta carta no puede ser invocada de forma normal. No puede ser seleccionada por ataques de Pokemon Tierra. Cuando esta carta es invocada con exito, tu oponente descarta hasta 5 cartas de la parte superior de su mazo. Cuando esta carta declara un ataque, antes del calculo de dano, reduce el ATK del objetivo a la mitad. Si es regresada a la mano, incrementa los Life Points de su controlador en 1000 puntos
Celebi	JHT02	Celebi	Psiquico	Luz	7	2000	2000	1	TCG	Esta carta no puede ser invocada de forma normal. No puede ser seleccionada por ataques de Pokemon Tierra. Cuando es invocada con exito, destruye todas las cartas Trampa Continuas en el campo de tu oponente. Durante tu Main Phase, puedes activar 1 de los siguientes efectos: *por 3 turnos, tu oponente no puede activar efectos que incrementen sus Life Points. *Puedes sacrificar esta carta para incrementar tus Life Points hasta un maximo de 4000 
Piedra Solar	JHT02	Piedra_Solar	Normal	Spell				3	TCG	Invoca de forma especial, desde tu mano, 1 Pokemon de nivel 5 o mayor enviando al Cementerio 1 Pokemon Planta indicado en el efecto de la carta a invocar.
Roca del Rey	JHT02	Roca_Rey	Normal	Spell				3	TCG	Selecciona 1 'Slowpoke' o 'Poliwhirl' que controles y envialo al Cementerio. Invoca de forma especial, desde tu mano, 1 Pokemon cuyo efecto mencione 'Roca del Rey'.
Polvo Plata	JHT02	Polvo_Plata	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Bicho. Gana 300 puntos de ATK
Bola de Humo	JHT02	Bola_Humo	Quick-play	Spell				3	TCG	Puedes activar esta carta cuando tu oponente declara un ataque contra 1 Pokemon que controles. Regresa el Pokemon atacado a tu mano
Revestimiento Metalico	JHT02	Revestimiento_Metalico	Normal	Spell				3	TCG	Selecciona 1 'Onix' o 'Scyther' que controles y envialo al Cementerio. Invoca de forma especial, desde tu mano, 1 Pokemon cuyo efecto mencione 'Revestimiento Metalico'.
Escama Dragon	JHT02	Escama_Dragon	Normal	Spell				3	TCG	Selecciona 1 'Seadra' que controles y envialo al Cementerio. Invoca de forma especial, desde tu mano, 1 'Kingdra'.
Bola Luminosa	JHT02	Bola_Luminosa	Equip	Spell				3	TCG	Equipa esta carta únicamente a 'Pikachu'. Gana 400 puntos de ATK
Arena Fina	JHT02	Arena_Fina	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Tierra. Gana 300 puntos de ATK
Piedra Dura	JHT02	Piedra_Dura	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Roca. Gana 300 puntos de ATK
Semilla Milagro	JHT02	Semilla_Milagro	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Planta. Gana 300 puntos de ATK
Gafas de Sol	JHT02	Gafas_Sol	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Siniestro. Gana 300 puntos de ATK
Cinturon Negro	JHT02	Cinturon_Negro	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Lucha. Gana 300 puntos de ATK
Iman	JHT02	Iman	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Electrico. Gana 300 puntos de ATK
Agua Mistica	JHT02	Agua_Mistica	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Agua. Gana 300 puntos de ATK
Pico Afilado	JHT02	Pico_Afilado	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Volador. Gana 300 puntos de ATK
Flecha Venenosa	JHT02	Flecha_Venenosa	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Veneno. Gana 300 puntos de ATK
